Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
OR029773.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191104,Orthoflavivirus denguei,10644,China,Guangdong,18/08/2019
OR029774.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191105,Orthoflavivirus denguei,10638,China,Guangdong,18/08/2019
OR029775.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191108,Orthoflavivirus denguei,10648,China,Guangdong,18/08/2019
OR029776.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191109,Orthoflavivirus denguei,10644,China,Guangdong,19/08/2019
OR029777.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191112,Orthoflavivirus denguei,10641,China,Guangdong,19/08/2019
OR029778.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191113,Orthoflavivirus denguei,10655,China,Guangdong,19/08/2019
OR029779.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191114,Orthoflavivirus denguei,10655,China,Guangdong,19/08/2019
OR029780.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191115,Orthoflavivirus denguei,10661,China,Guangdong,19/08/2019
OR029781.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191121,Orthoflavivirus denguei,10655,China,Guangdong,19/08/2019
OR029782.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191122,Orthoflavivirus denguei,10640,China,Guangdong,19/08/2019
OR029783.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191125,Orthoflavivirus denguei,10640,China,Guangdong,19/08/2019
OR029784.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191127,Orthoflavivirus denguei,10668,China,Guangdong,19/08/2019
OR029785.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191128,Orthoflavivirus denguei,10655,China,Guangdong,19/08/2019
OR029786.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191129,Orthoflavivirus denguei,10649,China,Guangdong,19/08/2019
OR029787.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191131,Orthoflavivirus denguei,10655,China,Guangdong,19/08/2019
OR029788.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191133,Orthoflavivirus denguei,10653,China,Guangdong,19/08/2019
OR029789.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191135,Orthoflavivirus denguei,10653,China,Guangdong,19/08/2019
OR029790.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191136,Orthoflavivirus denguei,10655,China,Guangdong,19/08/2019
OR029791.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191138,Orthoflavivirus denguei,10652,China,Guangdong,19/08/2019
OR029792.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191144,Orthoflavivirus denguei,10651,China,Guangdong,19/08/2019
OR029793.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191146,Orthoflavivirus denguei,10654,China,Guangdong,20/08/2019
OR029794.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191147,Orthoflavivirus denguei,10654,China,Guangdong,20/08/2019
OR029795.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191148,Orthoflavivirus denguei,10653,China,Guangdong,20/08/2019
OR029796.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191149,Orthoflavivirus denguei,10654,China,Guangdong,20/08/2019
OR029797.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191150,Orthoflavivirus denguei,10663,China,Guangdong,20/08/2019
OR029798.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191154,Orthoflavivirus denguei,10653,China,Guangdong,20/08/2019
OR029799.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191155,Orthoflavivirus denguei,10668,China,Guangdong,19/08/2019
OR029800.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191157,Orthoflavivirus denguei,10656,China,Guangdong,20/08/2019
OR029801.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191160,Orthoflavivirus denguei,10663,China,Guangdong,20/08/2019
OR029802.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191161,Orthoflavivirus denguei,10664,China,Guangdong,20/08/2019
OR029803.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191162,Orthoflavivirus denguei,10654,China,Guangdong,20/08/2019
OR029804.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191163,Orthoflavivirus denguei,10654,China,Guangdong,20/08/2019
OR029805.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191167,Orthoflavivirus denguei,10669,China,Guangdong,19/08/2019
OR029806.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191169,Orthoflavivirus denguei,10668,China,Guangdong,19/08/2019
OR029807.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191171,Orthoflavivirus denguei,10668,China,Guangdong,20/08/2019
OR029808.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191172,Orthoflavivirus denguei,10657,China,Guangdong,19/08/2019
OR029809.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191174,Orthoflavivirus denguei,10636,China,Guangdong,20/08/2019
OR029810.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191179,Orthoflavivirus denguei,10655,China,Guangdong,21/08/2019
OR029811.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191183,Orthoflavivirus denguei,10653,China,Guangdong,21/08/2019
OR029812.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191187,Orthoflavivirus denguei,10628,China,Guangdong,21/08/2019
OR029813.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191188,Orthoflavivirus denguei,10644,China,Guangdong,21/08/2019
OR029814.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191189,Orthoflavivirus denguei,10634,China,Guangdong,21/08/2019
OR029815.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191190,Orthoflavivirus denguei,10653,China,Guangdong,21/08/2019
OR029816.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D191191,Orthoflavivirus denguei,10605,China,Guangdong,20/08/2019
OR029817.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19387,Orthoflavivirus denguei,10656,China,Guangdong,24/07/2019
OR029818.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19390,Orthoflavivirus denguei,10653,China,Guangdong,28/07/2019
OR029819.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19391,Orthoflavivirus denguei,10653,China,Guangdong,28/07/2019
OR029820.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19392,Orthoflavivirus denguei,10653,China,Guangdong,28/07/2019
OR029821.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19393,Orthoflavivirus denguei,10653,China,Guangdong,28/07/2019
OR029822.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19395,Orthoflavivirus denguei,10652,China,Guangdong,29/07/2019
OR029823.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19396,Orthoflavivirus denguei,10653,China,Guangdong,29/07/2019
OR029824.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19397,Orthoflavivirus denguei,10645,China,Guangdong,29/07/2019
OR029825.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19400,Orthoflavivirus denguei,10652,China,Guangdong,29/07/2019
OR029826.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19401,Orthoflavivirus denguei,10653,China,Guangdong,29/07/2019
OR029827.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19402,Orthoflavivirus denguei,10653,China,Guangdong,30/07/2019
OR029828.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19403,Orthoflavivirus denguei,10654,China,Guangdong,30/07/2019
OR029829.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19404,Orthoflavivirus denguei,10667,China,Guangdong,30/07/2019
OR029830.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19405,Orthoflavivirus denguei,10667,China,Guangdong,31/07/2019
OR029831.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19406,Orthoflavivirus denguei,10668,China,Guangdong,30/07/2019
OR029832.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19411,Orthoflavivirus denguei,10660,China,Guangdong,31/07/2019
OR029833.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19412,Orthoflavivirus denguei,10652,China,Guangdong,31/07/2019
OR029834.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19414,Orthoflavivirus denguei,10662,China,Guangdong,31/07/2019
OR029835.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19415,Orthoflavivirus denguei,10668,China,Guangdong,01/08/2019
OR029836.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19416,Orthoflavivirus denguei,10667,China,Guangdong,01/08/2019
OR029837.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19417,Orthoflavivirus denguei,10653,China,Guangdong,01/08/2019
OR029838.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19419,Orthoflavivirus denguei,10667,China,Guangdong,01/08/2019
OR029839.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19420,Orthoflavivirus denguei,10668,China,Guangdong,02/08/2019
OR029840.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19422,Orthoflavivirus denguei,10667,China,Guangdong,02/08/2019
OR029841.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19423,Orthoflavivirus denguei,10660,China,Guangdong,02/08/2019
OR029842.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19424,Orthoflavivirus denguei,10667,China,Guangdong,02/08/2019
OR029843.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19426,Orthoflavivirus denguei,10665,China,Guangdong,02/08/2019
OR029844.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19427,Orthoflavivirus denguei,10668,China,Guangdong,01/08/2019
OR029845.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19428,Orthoflavivirus denguei,10667,China,Guangdong,02/08/2019
OR029846.1,dengue virus type 1,"Sun,J.","Guangdong Provincial Center for Disease Control and Prevention, Guangdong Provincial Institute of Public Health",China,28/05/2023,DENV1_D19429,Orthoflavivirus denguei,10663,China,Guangdong,02/08/2019
